cfc,Q,2,
chh,p,-450,-450
chh,p,-427,-427
chh,p,-400,-400
chh,p,-370,-370
chh,p,-336,-336
chh,p,-298,-298
chh,p,-258,-258
chh,p,-216,-216
chh,p,-171,-171
chh,p,-125,-125
chh,p,-77,-77
chh,p,-29,-29
chh,p,20,20
chh,p,68,68
chh,p,116,116
chh,p,163,163
chh,p,208,208
chh,p,252,252
chh,p,293,293
chh,p,331,331
chh,p,366,366
chh,p,398,398
chh,p,426,426
chh,p,450,450
chh,p,469,469
chh,p,484,484
chh,p,494,494
chh,p,499,499
chh,p,500,500
chh,p,495,495
chh,p,485,485
chh,p,471,471
chh,p,452,452
chh,p,429,429
chh,p,401,401
chh,p,369,369
chh,p,333,333
chh,p,294,294
chh,p,252,252
chh,p,207,207
chh,p,160,160
chh,p,112,112
chh,p,62,62
chh,p,11,11
chh,p,-39,-39
chh,p,-89,-89
chh,p,-139,-139
chh,p,-187,-187
chh,p,-233,-233
chh,p,-277,-277
chh,p,-318,-318
chh,p,-356,-356
chh,p,-390,-390
chh,p,-420,-420
chh,p,-445,-445
chh,p,-466,-466
chh,p,-482,-482
chh,p,-493,-493
chh,p,-499,-499
chh,p,-500,-500
chh,p,-495,-495
chh,p,-484,-484
chh,p,-469,-469
chh,p,-449,-449
chh,p,-423,-423
chh,p,-393,-393
chh,p,-359,-359
chh,p,-321,-321
chh,p,-279,-279
chh,p,-235,-235
chh,p,-187,-187
chh,p,-138,-138
chh,p,-87,-87
chh,p,-35,-35
chh,p,18,18
chh,p,70,70
chh,p,122,122
chh,p,172,172
chh,p,221,221
chh,p,267,267
chh,p,310,310
chh,p,350,350
chh,p,386,386
chh,p,417,417
chh,p,444,444
chh,p,466,466
chh,p,483,483
chh,p,494,494
chh,p,499,499
chh,p,499,499
chh,p,493,493
chh,p,482,482
chh,p,465,465
chh,p,442,442
chh,p,414,414
chh,p,382,382
chh,p,345,345
chh,p,304,304
chh,p,259,259
chh,p,212,212
chh,p,161,161
chh,p,109,109
chh,p,56,56
chh,p,1,1
chh,p,-53,-53
chh,p,-107,-107
chh,p,-159,-159
chh,p,-210,-210
chh,p,-258,-258
chh,p,-304,-304
chh,p,-345,-345
chh,p,-383,-383
chh,p,-416,-416
chh,p,-444,-444
chh,p,-466,-466
chh,p,-483,-483
chh,p,-495,-495
chh,p,-500,-500
chh,p,-499,-499
chh,p,-492,-492
chh,p,-478,-478
chh,p,-459,-459
chh,p,-435,-435
chh,p,-405,-405
chh,p,-369,-369
chh,p,-330,-330
chh,p,-286,-286
chh,p,-238,-238
chh,p,-188,-188
chh,p,-135,-135
chh,p,-80,-80
chh,p,-24,-24
chh,p,32,32
chh,p,88,88
chh,p,143,143
chh,p,196,196
chh,p,246,246
chh,p,294,294
chh,p,338,338
chh,p,377,377
chh,p,412,412
chh,p,441,441
chh,p,465,465
chh,p,483,483
chh,p,495,495
chh,p,500,500
chh,p,498,498
chh,p,491,491
chh,p,476,476
chh,p,456,456
chh,p,429,429
chh,p,397,397
chh,p,360,360
chh,p,317,317
chh,p,271,271
chh,p,221,221
chh,p,168,168
chh,p,112,112
chh,p,55,55
chh,p,-3,-3
chh,p,-60,-60
chh,p,-118,-118
chh,p,-173,-173
chh,p,-226,-226
chh,p,-277,-277
chh,p,-323,-323
chh,p,-365,-365
chh,p,-403,-403
chh,p,-434,-434
chh,p,-460,-460
chh,p,-480,-480
chh,p,-493,-493
chh,p,-499,-499
chh,p,-499,-499
chh,p,-491,-491
chh,p,-477,-477
chh,p,-456,-456
chh,p,-429,-429
chh,p,-395,-395
chh,p,-357,-357
chh,p,-313,-313
chh,p,-264,-264
chh,p,-212,-212
chh,p,-157,-157
chh,p,-100,-100
chh,p,-41,-41
chh,p,19,19
chh,p,78,78
chh,p,137,137
chh,p,193,193
chh,p,247,247
chh,p,297,297
chh,p,343,343
chh,p,384,384
chh,p,420,420
chh,p,449,449
chh,p,472,472
chh,p,489,489
chh,p,498,498
chh,p,500,500
chh,p,494,494
chh,p,482,482
chh,p,462,462
chh,p,436,436
chh,p,403,403
chh,p,364,364
chh,p,320,320
chh,p,271,271
chh,p,217,217
chh,p,161,161
chh,p,102,102
chh,p,42,42
chh,p,-20,-20
chh,p,-81,-81
chh,p,-140,-140
chh,p,-198,-198
chh,p,-253,-253
chh,p,-304,-304
chh,p,-350,-350
chh,p,-392,-392
chh,p,-427,-427
chh,p,-456,-456
chh,p,-478,-478
chh,p,-492,-492
chh,p,-499,-499
chh,p,-499,-499
chh,p,-490,-490
chh,p,-475,-475
chh,p,-451,-451
chh,p,-421,-421
chh,p,-384,-384
chh,p,-341,-341
chh,p,-293,-293
chh,p,-240,-240
chh,p,-184,-184
chh,p,-124,-124
chh,p,-63,-63
cfc,Q,-1,
